"question\model","forecast","GPT3.5","GPT4.0","GPT4.0PICTURE","OTHER"
"jigsaw_batteries_v1_bad","FAIL","","",""
"jigsaw_batteries_v1_good","PASS","","",""
"jigsaw_pokerchips_v1_bad","FAIL","","",""
"jigsaw_pokerchips_v1_good","PASS","","",""
"jigsaw_temperature_v1_good","PASS","","",""
"jigsaw_weights_v1_bad ","FAIL","","",""
"jigsaw_weights_v1_good ","PASS","","",""
"jointconstruction_product_v1_bad","FAIL","","fail",""
"jointcounstruction_clock_v1_good","PASS","","fail",""
"requestinfo_cookies_v1_bad","FAIL","","",""
"requestinfo_cookies_v1_good","PASS","","",""
"requestinfo_garden_v1_good","PASS","","Fail",""
"requestinfo_numberline_v1_bad","FAIL","","",""
"requestinfo_tiles_v1_bad","FAIL","","",""
