"question\model","forecast","GPT3.5","GPT4.0","GPT4.0PICTURE","OTHER"
"jigsaw_batteries_v1_bad","FAIL","Pass","Fail",""
"jigsaw_batteries_v1_good","PASS","Pass","Pass",""
"jigsaw_pokerchips_v1_bad","FAIL","Pass","Fail",""
"jigsaw_pokerchips_v1_good","PASS","Pass","Pass",""
"jigsaw_temperature_v1_good","PASS","Pass","Pass",""
"jigsaw_weights_v1_bad ","FAIL","Pass","Pass",""
"jigsaw_weights_v1_good ","PASS","Pass","Pass",""
"jointconstruction_product_v1_bad","FAIL","Pass","Fail",""
"jointcounstruction_clock_v1_good","PASS","Pass","Fail",""
"requestinfo_cookies_v1_bad","FAIL","Pass","Fail",""
"requestinfo_cookies_v1_good","PASS","Pass","Pass",""
"requestinfo_garden_v1_good","PASS","Pass","Pass",""
"requestinfo_numberline_v1_bad","FAIL","Pass","Pass",""
"requestinfo_tiles_v1_bad","FAIL","Pass","Pass",""
"jigsaw_batteries_v1_bad","FAIL","Pass","Fail",""
"jigsaw_batteries_v1_good","PASS","Pass","Pass",""
"jigsaw_pokerchips_v1_bad","FAIL","Pass","Fail",""
"jigsaw_pokerchips_v1_good","PASS","Pass","Pass",""
"jigsaw_temperature_v1_good","PASS","pass","Pass",""
"jigsaw_weights_v1_bad ","FAIL","Pass","Pass",""
"jigsaw_weights_v1_good ","PASS","Pass","Pass",""
"jointconstruction_product_v1_bad","FAIL","Pass","Fail",""
"jointcounstruction_clock_v1_good","PASS","Pass","Fail",""
"requestinfo_cookies_v1_bad","FAIL","Pass","Pass",""
"requestinfo_cookies_v1_good","PASS","Pass","Pass",""
"requestinfo_garden_v1_good","PASS","Pass","Pass",""
"requestinfo_numberline_v1_bad","FAIL","Pass","Pass",""
"requestinfo_tiles_v1_bad","FAIL","Pass","Pass",""
